"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Atp6ap1",1110,586,2505,335,747,1571,1343,2249,1358,1680
"Flna",2523,1635,5903,1056,1341,4388,3535,6182,2910,4089
"Gdi1",373,526,348,101,102,506,567,399,336,502
"Snora70",0,56,0,0,1,0,0,0,0,0
"Rpl10",871,1345,1635,197,361,1664,1468,2688,1040,1784
"Slc10a3",108,70,74,9,55,177,212,52,23,131
"Ubl4a",91,72,195,10,4,96,118,85,68,73
"G6pdx",181,111,443,70,169,404,265,608,293,288
"Fam3a",75,79,256,13,29,93,98,265,63,247
"Gm44504",0,0,0,0,0,0,0,0,0,0
"Plxna3",0,27,28,0,31,0,47,28,33,6
"Lage3",397,235,612,181,283,346,504,977,469,521
"Gm6880",0,0,0,0,0,0,0,0,0,0
"Gm5640",0,0,0,0,0,0,0,0,0,0
"Olfr1325",0,0,0,0,0,0,0,0,0,0
"Gm6890",0,0,0,0,0,0,0,0,0,0
"Gm38425",0,0,0,0,0,0,0,0,3,0
"Gab3",238,321,275,612,612,292,442,424,78,380
"Mpp1",232,410,183,104,92,102,244,202,67,203
"Smim9",0,0,0,0,0,0,0,0,0,0
"Mtcp1",0,0,0,0,14,0,0,1,0,0
"Brcc3",227,108,325,223,330,200,367,156,188,216
"Cmc4",28,76,9,0,9,86,125,66,51,27
"Fundc2",514,505,958,349,543,1025,859,1245,690,898
"Vbp1",360,827,213,200,169,451,351,458,227,577
"Rab39b",0,0,0,0,0,0,0,0,14,36
"Pls3",139,101,151,109,119,253,200,408,220,371
"Cldn34b3",0,0,0,0,0,0,0,0,0,0
"Cldn34b4",0,0,0,0,0,0,0,0,0,0
"Cldn34d",0,0,0,0,0,0,0,0,0,0
"Cldn34-ps",0,0,0,0,0,0,0,0,0,0
"Prkx",388,271,252,33,238,348,563,348,369,333
"Pbsn",0,0,0,0,0,0,0,0,0,0
"Gm14744",0,0,0,0,0,0,0,0,0,0
"5430402E10Rik",0,0,0,0,0,0,0,0,0,0
"Obp1a",0,0,0,0,0,0,0,0,0,0
"Obp1b",0,0,0,0,0,0,0,0,0,0
"Gm5938",0,0,0,0,0,0,0,0,0,0
"Gm14743",0,0,0,0,0,0,0,0,0,0
"4930480E11Rik",0,0,0,0,0,0,0,0,0,0
"Fam47c",0,0,0,0,0,0,0,0,0,0
"Gm8787",0,0,0,0,0,0,0,0,0,0
"Gm7173",0,0,0,0,0,0,0,0,0,0
"Mageb16",0,0,0,0,0,0,0,0,0,0
"Tmem47",0,34,1,0,0,0,3,0,23,0
"4930595M18Rik",0,0,0,0,0,0,0,0,0,0
"Tsga8",0,0,0,0,0,0,0,0,0,0
"Fthl17a",0,0,0,0,0,0,0,0,0,0
"5430427O19Rik",145,289,143,63,130,161,205,242,26,257
"Samt3",0,0,0,0,0,0,0,0,0,0
"Nr0b1",0,0,0,0,0,0,0,0,0,0
"Mageb4",0,0,0,0,0,0,0,0,0,0
"Gm41",0,0,0,0,0,0,0,0,0,0
"Mir1906-1",0,0,0,0,0,0,0,0,0,0
"Mir1906-2",0,0,0,0,0,0,0,0,0,0
"Pet2",0,0,0,12,0,0,0,0,0,0
"4932429P05Rik",0,0,0,0,0,0,0,0,0,0
"4930415L06Rik",0,0,0,0,0,0,0,0,0,0
"Gm44",0,0,0,0,0,0,0,0,0,0
"LOC101055749",0,0,0,0,0,0,0,0,0,0
"Mageb2",0,0,0,0,0,0,0,0,0,0
"Mageb1",0,0,0,0,0,0,0,0,0,0
"Gm5072",0,0,0,0,0,0,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0
"Gm14781",0,0,0,0,0,0,0,0,0,0
"Mageb5",0,0,0,0,0,0,0,0,0,0
"Gm5071",0,0,0,0,0,0,0,0,0,0
"Gm5941",0,0,0,0,0,0,0,0,0,0
"BC061195",0,0,0,0,0,0,0,0,0,0
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0
"Arx",0,0,0,0,0,10,1,0,72,0
"Pdk3",590,464,605,204,317,616,721,412,686,660
"AU015836",0,0,0,0,0,21,0,0,0,0
"Eif2s3x",200,54,480,3,61,322,225,316,230,166
"Mir7673",0,0,0,0,0,0,0,0,0,0
"Gm14827",0,0,0,0,0,0,0,0,0,0
"Maged1",206,169,53,52,126,42,176,108,63,114
"Gspt2",92,10,45,0,60,105,64,96,66,1
"Zxdb",35,110,59,32,48,168,68,121,129,56
"Zxda",107,70,93,20,77,133,137,85,144,105
"Spin4",0,0,0,29,0,15,0,50,0,9
"Zc4h2",0,42,9,0,0,1,1,1,18,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0
"Msn",2973,2638,4579,2443,2535,3753,3094,4147,2975,3088
"Vsig4",0,0,0,0,0,0,0,0,0,0
"Mir223",0,0,0,0,0,0,0,0,0,0
"F630028O10Rik",61,95,9,13,46,75,55,84,61,89
"Gpr165",0,0,0,0,0,0,0,0,0,0
"Pgr15l",0,0,0,3,0,0,0,0,0,0
"Eda2r",0,0,0,0,9,0,0,0,0,0
"Yipf6",102,158,111,42,61,178,217,65,116,247
"Stard8",25,21,164,22,11,150,132,92,75,79
"Efnb1",158,71,196,234,213,53,194,135,90,42
"Gm14812",0,0,0,0,0,0,0,0,0,0
"Pja1",159,184,291,232,227,236,238,281,294,309
"Tmem28",0,0,0,0,0,0,0,0,0,0
"Mir676",0,0,0,0,0,0,0,0,0,0
"Awat2",0,0,0,0,0,0,0,0,0,0
"Otud6a",0,0,0,0,0,0,0,0,0,0
"Igbp1",504,559,715,261,317,1140,889,1332,716,879
"Awat1",0,0,0,0,0,0,0,0,0,0
"Arr3",0,0,0,0,0,0,0,0,0,0
"P2ry4",0,0,0,0,0,0,0,0,0,0
"Pdzd11",47,105,64,148,116,133,133,169,43,106
"Gdpd2",0,0,0,0,0,0,0,0,0,0
"Slc7a3",0,0,0,0,0,13,0,0,0,0
"Gm614",0,0,0,21,141,54,16,0,0,0
"Il2rg",2203,1574,4336,1397,1358,3044,3366,4780,2184,4379
"Foxo4",420,40,616,109,53,293,302,612,222,410
"Med12",219,202,408,317,225,315,409,592,272,471
"Gjb1",0,0,0,0,0,0,0,0,0,0
"Zmym3",271,249,300,119,73,214,348,293,147,525
"Nono",843,628,828,798,601,950,1001,702,486,1096
"Ogt",485,573,377,193,282,572,478,588,436,469
"Cxcr3",63,72,87,0,29,260,188,166,43,275
"Rgag4",1169,954,2449,762,1012,2978,2960,4686,2372,3211
"Pin4",132,162,256,15,109,217,282,526,193,410
"Rps4x",1922,2149,2446,506,1129,2713,2743,3158,2629,3042
"Ercc6l",103,4,32,38,100,5,48,0,33,56
"Cited1",0,0,86,35,0,0,1,440,0,78
"Gm14858",0,0,0,0,0,0,0,0,0,0
"Dmrtc1b",0,0,0,0,0,0,0,0,0,0
"Gm9112",0,0,0,0,0,0,0,0,0,0
"Gm5166",0,0,0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0
"Dmrtc1c1",0,0,0,0,0,0,0,0,0,0
"Dmrtc1c2",0,0,0,0,0,0,0,0,0,0
"Gm5126",0,0,0,0,0,0,0,0,0,0
"Dmrtc1a",0,0,0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0
"Nap1l2",13,0,0,0,0,0,6,18,0,0
"4930519F16Rik",0,0,0,0,0,0,0,0,0,0
"Chic1",78,96,65,49,69,75,20,66,17,6
"Cdx4",0,0,0,0,0,0,0,0,0,0
"Tsix",60,22,0,0,0,0,20,0,113,0
"Xist",10223,12061,7102,13632,12315,8403,10345,6000,4503,5207
"Jpx",23,102,33,0,42,35,81,45,0,70
"Zcchc13",0,0,0,0,0,0,0,0,0,0
"Mir374b",0,0,0,0,0,0,0,0,0,0
"Mir374c",0,0,0,0,0,0,0,0,0,0
"Ftx",168,10,43,21,75,40,171,74,40,96
"Mir421",0,0,0,0,10,0,0,0,0,0
"Rlim",410,482,310,279,575,644,574,385,258,816
"C77370",0,0,0,17,0,0,0,0,0,0
"Mir672",0,0,0,0,0,0,0,0,0,0
"Uprt",0,0,0,0,0,0,0,0,0,0
"Magee2",0,0,0,0,1,27,5,0,0,0
"1700121L16Rik",0,0,0,0,0,0,0,0,0,0
"Pbdc1",367,236,233,169,169,358,443,333,246,290
"5530601H04Rik",117,29,67,54,37,45,31,72,70,130
"E530001F21Rik",0,0,0,0,0,0,0,0,0,0
"Magee1",88,60,151,0,48,60,45,58,47,24
"Mir384",0,0,0,0,0,0,0,0,0,0
"Cypt2",0,0,0,0,0,0,0,0,0,0
"Magt1",2290,2257,1401,1260,1372,1599,2150,1211,1057,1837
"Cox7b",2080,1607,2200,1047,1371,3435,3210,3904,2791,3793
"Tlr13",102,134,205,58,189,128,192,363,123,163
"Fnd3c2",0,0,0,0,0,0,0,0,0,0
"Taf9b",23,81,19,3,21,37,24,97,43,33
"Pgk1",4,6,0,3,60,12,21,16,4,6
"Mir6382",0,0,0,0,0,0,0,0,0,0
"Cysltr1",52,0,16,0,14,41,82,27,1,3
"Zcchc5",0,0,0,0,0,0,0,0,0,0
"Lpar4",0,30,0,42,0,0,0,18,18,0
"P2ry10",777,1022,1296,319,687,1609,1214,1550,592,2100
"A630033H20Rik",0,27,52,14,34,83,52,24,70,35
"Gpr174",128,264,130,258,265,146,187,276,62,65
"Itm2a",30,109,45,0,150,34,109,58,34,17
"4933401B06Rik",0,0,0,0,0,0,0,0,0,0
"Tbx22",0,0,0,0,0,0,0,0,0,0
"2610002M06Rik",156,147,89,42,19,185,92,107,46,229
"Gm732",0,0,0,0,0,0,0,0,0,0
"2810403D21Rik",57,0,8,4,28,14,0,13,8,13
"Hmgn5",637,544,462,346,460,470,416,809,349,1132
"5730416F02Rik",0,0,0,0,0,0,0,0,0,0
"Sh3bgrl",244,568,304,399,423,826,632,761,264,916
"Gm6377",656,760,152,437,522,444,460,528,315,291
"Gm7134",0,0,0,0,0,0,0,0,0,0
"Pou3f4",0,0,0,0,0,0,0,0,0,0
"Cylc1",0,0,0,0,0,0,0,0,0,0
"Tex16",0,0,0,0,0,0,0,0,0,0
"4933403O08Rik",0,0,0,0,0,0,0,0,0,0
"Satl1",0,0,0,0,0,0,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0,0,0,0,0
"Zfp711",0,0,0,0,0,0,0,0,0,0
"Pof1b",0,0,0,8,0,5,0,21,0,40
"Mir361",0,0,0,0,0,0,0,0,0,0
"Ube2dnl1",0,0,0,0,0,0,0,0,0,0
"Ube2dnl2",0,0,0,0,0,0,0,0,0,0
"4930555B12Rik",0,0,0,0,0,0,0,0,0,0
"Cpxcr1",0,0,0,0,0,0,0,0,0,0
"H2afb2",0,0,0,0,0,0,0,0,0,0
"Gm14920",0,0,0,0,0,0,0,0,0,0
"Tgif2lx2",0,0,0,0,0,0,0,0,0,0
"Tgif2lx1",0,0,0,0,0,0,0,0,0,0
"Pabpc5",0,0,0,15,0,0,0,0,0,0
"H2afb3",0,0,0,0,0,0,0,0,0,0
"Nap1l3",0,0,0,0,0,15,8,0,5,0
"Cldn34c1",0,0,0,0,0,0,1,0,3,0
"Vmn2r121",0,0,0,0,0,0,0,0,0,0
"4932411N23Rik",0,0,0,0,0,0,0,0,0,0
"Gm382",0,0,0,0,0,0,0,0,0,0
"4921511C20Rik",0,0,0,0,0,0,0,0,0,0
"Cldn34c4",0,0,0,0,0,0,0,0,0,0
"4930558G05Rik",0,0,0,0,0,0,0,0,0,0
"Pcdh19",0,76,0,0,0,0,0,0,6,70
"Srpx2",0,0,12,85,0,22,42,14,10,0
"Tspan6",0,0,0,39,30,0,0,0,0,0
"Tnmd",0,0,0,0,0,0,0,0,0,0
"Mir3112",0,0,0,0,0,0,0,0,0,0
"Arl13a",0,0,0,0,0,0,0,0,0,0
"Xkrx",47,126,333,17,51,113,39,130,39,190
"Tmem35a",0,0,0,0,0,0,0,0,0,0
"Trmt2b",233,118,111,39,201,114,126,277,18,372
"Taf7l",0,0,0,65,0,0,0,0,0,0
"Drp2",42,0,0,0,0,0,9,0,0,0
"Btk",768,473,1485,165,566,688,679,1618,1213,1047
"Rpl36a",17559,13398,26313,6266,11190,26380,27563,36338,31493,30809
"Gla",243,179,473,46,159,235,328,610,342,358
"Timm8a1",0,0,1,0,0,0,0,0,0,0
"Hnrnph2",31,0,0,0,0,0,4,0,0,9
"Armcx1",0,0,17,0,31,0,0,0,0,0
"B230119M05Rik",0,0,0,0,0,0,0,0,0,0
"Armcx4",31,19,72,14,28,0,28,3,24,63
"Armcx3",24,118,0,50,0,18,31,38,0,81
"Mir7093",0,0,0,0,0,0,0,0,0,0
"Armcx6",0,0,0,0,35,32,12,83,29,33
"Armcx2",200,224,540,145,165,389,242,599,177,324
"Nxf2",0,0,0,0,0,1,0,0,0,0
"3632454L22Rik",0,0,0,0,0,0,0,0,0,0
"Gm15023",0,0,0,0,0,0,0,0,0,0
"Tceal6",1,0,0,0,0,0,0,0,0,0
"AV320801",0,0,0,0,0,0,0,0,0,0
"Gm7903",0,0,0,0,0,0,0,0,0,0
"Pramel3",0,0,0,0,0,0,0,0,0,0
"Gm5128",0,0,0,0,0,0,0,0,0,0
"Nxf7",0,0,0,0,0,0,0,0,0,0
"Prame",0,1,0,0,0,0,0,0,0,0
"Tmsb15a",9,0,0,0,0,0,38,0,0,0
"Armcx5",85,104,91,132,87,154,109,135,106,199
"Mir7646",0,0,0,0,0,0,0,0,0,0
"Gprasp2",9,0,0,15,0,20,0,0,0,8
"Bhlhb9",125,147,86,20,83,172,81,147,102,141
"Arxes1",0,12,0,0,0,0,0,0,0,0
"Arxes2",0,5,25,0,0,0,35,0,5,0
"5730412P04Rik",0,0,0,0,0,0,0,0,0,0
"Bex2",0,0,0,0,0,0,0,0,0,0
"Tceal8",183,18,65,130,99,76,158,141,230,91
"Bex4",0,0,0,0,0,0,0,0,0,0
"Mir6383",0,0,0,0,0,0,0,0,0,0
"Nxf3",0,0,0,0,0,0,0,0,0,0
"Ngfrap1",463,376,1119,398,279,876,1153,1155,929,954
"Bex1",0,0,0,0,0,0,0,3,0,0
"Wbp5",456,386,372,329,113,329,557,725,205,537
"Tceal5",0,0,0,0,0,0,0,0,0,0
"Tceal7",0,0,0,0,0,0,0,0,0,0
"Kir3dl2",0,0,0,0,0,0,20,5,0,0
"Kir3dl1",0,0,0,0,0,0,0,0,0,0
"Tceal3",0,0,0,0,0,0,0,0,0,14
"Plp1",23,197,27,23,61,21,67,0,0,3
"Morf4l2",96,106,12,11,57,85,74,50,17,8
"Glra4",0,0,0,0,0,0,0,0,0,0
"BC065397",0,149,22,206,97,113,104,101,40,101
"Rab9b",0,0,0,0,0,0,0,0,0,0
"H2bfm",0,0,0,0,0,0,0,0,0,0
"Tmsb15b2",0,0,0,0,0,0,0,0,0,0
"Zcchc18",133,155,43,19,87,109,29,48,96,137
"Slc25a53",53,107,96,30,57,163,182,37,107,30
"Tmsb15b1",0,0,0,0,0,84,19,0,0,18
"Fam199x",149,337,137,58,153,278,171,137,94,128
"Esx1",0,0,0,0,0,0,0,0,0,0
"Tex13a",0,0,0,0,0,0,0,0,0,0
"4930513O06Rik",0,0,0,0,0,0,0,0,0,0
"Serpina7",0,0,0,0,0,0,0,0,0,0
"Mum1l1",0,0,0,0,0,0,0,0,0,0
"Trap1a",0,0,0,0,0,0,0,0,0,26
"D330045A20Rik",0,0,0,0,21,0,0,0,0,0
"Cldn2",0,0,0,0,0,0,0,0,0,0
"Ripply1",0,0,0,0,0,0,0,0,0,0
"Nup62cl",0,0,0,0,0,0,0,0,0,0
"Pih1h3b",0,0,0,0,0,0,0,0,0,0
"Mir3475",0,0,0,0,0,0,0,0,0,0
"Prps1",364,213,1169,285,475,539,814,939,866,618
"Tsc22d3",1710,1506,2148,463,1116,2836,3333,2758,2117,3057
"Mid2",0,0,0,0,50,0,10,0,0,0
"Tex13",0,0,0,0,0,0,0,0,0,0
"Psmd10",246,130,483,275,473,579,558,969,541,447
"Vsig1",0,0,0,0,0,0,0,0,0,0
"Irs4",0,0,0,0,0,0,0,0,0,0
"Nxt2",28,76,58,0,0,54,6,112,32,71
"Kcne1l",0,0,0,0,0,0,0,0,0,0
"Gm5643",0,0,0,0,0,0,0,0,0,0
"Mir652",0,0,0,0,0,0,0,0,0,0
"Rgag1",0,0,0,0,0,0,0,0,0,0
"Capn6",0,0,0,0,0,0,0,0,0,0
"A730046J19Rik",0,0,0,0,0,0,0,0,0,0
"Alg13",56,73,44,0,27,91,78,7,20,81
"Trpc5os",0,0,0,0,0,0,0,0,0,0
"Mageb16-ps1",0,0,0,0,0,0,0,0,0,0
"Mir3472",0,0,0,0,0,0,0,0,0,0
"Lhfpl1",0,0,0,0,0,0,0,0,0,0
"Amot",73,29,156,29,0,180,147,128,26,32
"Snora35",0,0,0,0,0,0,0,0,0,0
"Mir1912",0,0,0,0,0,0,0,0,0,0
"Mir1264",0,0,0,0,0,0,0,0,0,0
"Mir764",0,0,0,0,0,0,0,0,0,0
"Gm22650",0,0,0,0,0,0,0,0,0,0
"Mir448",0,0,0,0,0,0,0,0,0,0
"Mir1298",0,0,0,0,0,0,0,0,0,0
"Il13ra2",0,25,6,27,8,2,0,0,0,0
"Lrch2",0,0,0,0,0,0,0,0,74,0
"Gm15080",0,0,0,0,0,0,0,0,0,0
"Gm15107",0,0,0,0,0,0,0,0,0,0
"Gm10439",0,0,0,0,0,0,0,0,0,0
"Gm15104",0,0,0,0,0,0,0,0,0,0
"Tmem29",47,82,192,42,27,280,239,137,83,182
"Alas2",0,64,12,52,0,28,41,17,0,37
"Mir3620",0,0,0,0,0,0,0,0,0,0
"Apex2",48,0,23,96,80,23,0,52,29,64
"Tro",0,0,0,0,0,0,0,0,0,0
"Maged2",27,0,82,0,0,37,66,57,0,71
"Itih5l-ps",0,0,0,0,0,0,0,0,0,0
"Tsr2",190,40,201,1,104,88,145,150,15,79
"Fgd1",25,0,0,3,19,13,3,24,71,7
"A230072E10Rik",16,29,0,5,54,0,0,9,0,15
"Phf8",264,257,363,476,316,190,257,368,151,326
"Mirlet7f-2",0,0,0,0,0,0,0,0,0,0
"Mir3113",0,0,0,0,0,0,0,0,0,0
"Mir98",0,0,0,0,0,0,55,0,0,0
"Ribc1",12,0,26,0,0,8,15,15,4,4
"Hsd17b10",273,203,348,167,213,323,427,532,164,414
"Kdm5c",331,293,223,299,332,526,620,419,430,652
"Gpr173",0,0,0,0,0,0,0,0,0,0
"3010001F23Rik",0,0,0,0,0,0,0,0,0,0
"Tspyl2",117,16,194,221,76,151,88,72,35,82
"Cldn34a",0,0,0,0,0,0,0,0,0,0
"Gpr143",0,0,0,0,0,0,0,0,0,0
"Usp51",0,33,0,17,0,0,0,0,0,28
"Mageh1",0,20,0,0,36,0,25,59,33,19
"9530051G07Rik",0,0,0,0,25,0,0,12,0,0
"Foxr2",0,0,0,0,0,0,0,0,0,0
"Rragb",0,33,42,50,79,0,4,0,12,4
"Ubqln2",124,163,49,50,82,243,146,230,82,226
"Cypt3",0,0,0,101,0,0,0,0,0,0
"Kctd12b",152,70,32,65,30,118,36,75,16,141
"2210013O21Rik",198,194,153,129,186,489,301,539,443,481
"Spin2c",4,30,0,0,0,34,9,24,0,19
"Gm16445",0,0,0,0,0,0,0,0,0,0
"4930524N10Rik",0,0,0,0,0,0,0,0,0,0
"Samt4",0,0,0,0,0,0,0,0,0,0
"Samt2",0,0,0,0,0,0,0,0,0,0
"Magea6",0,0,0,0,0,0,0,0,0,0
"Cldn34b1",0,0,0,0,0,0,0,0,0,0
"Magea8",0,0,0,0,0,0,0,0,0,0
"Magea2",0,0,0,0,0,0,0,0,0,0
"Magea3",0,0,0,0,0,0,0,0,0,0
"Cldn34b2",0,0,0,0,0,0,0,0,0,0
"Magea1",0,0,0,0,0,0,0,0,0,0
"Acot9",296,176,461,98,141,524,461,469,230,305
"Sat1",637,971,179,117,359,655,725,594,517,509
"Prdx4",88,12,136,20,61,31,258,160,202,86
"4930503H13Rik",0,0,0,0,0,0,0,0,0,0
"Sms",281,163,487,163,289,274,407,511,270,250
"Gm6568",0,0,0,0,0,0,0,0,0,0
"Yy2",56,14,36,42,7,177,46,59,56,177
"Smpx",0,0,0,0,0,0,0,0,0,0
"Klhl34",0,0,0,0,0,0,0,0,0,0
"Rps6ka3",381,413,319,216,330,504,468,578,285,466
"Map7d2",0,0,0,0,0,0,0,0,0,0
"A830080D01Rik",68,74,0,196,191,86,18,40,0,1
"Pdha1",411,830,546,216,475,670,861,903,376,621
"Rs1",0,0,0,0,0,0,0,0,0,28
"Gja6",27,0,0,0,0,0,0,0,0,0
"Rbbp7",647,939,1234,302,630,1134,1043,1064,645,1165
"Syap1",213,358,124,268,83,147,314,202,97,213
"S100g",0,0,0,0,0,0,0,0,0,0
"Grpr",0,1,0,0,0,0,0,0,0,0
"Rnf138rt1",0,0,0,0,0,0,0,0,0,0
"Zrsr2",1766,1711,2275,1285,2013,1549,1645,2123,931,1765
"Ap1s2",527,420,221,426,289,329,577,518,513,751
"Car5b",99,26,4,219,91,0,44,25,17,83
"Siah1b",2,30,103,33,71,95,71,107,18,28
"Ace2",36,0,4,0,0,11,28,1,72,0
"Piga",35,34,125,118,27,195,106,149,43,134
"Vegfd",11,12,187,0,0,24,66,41,0,0
"Asb11",0,0,0,0,0,0,3,0,0,0
"Asb9",0,0,0,0,0,0,0,0,0,0
"Fancb",29,47,31,0,1,19,33,62,12,20
"Mospd2",72,247,8,25,84,90,62,104,96,136
"Gemin8",2,0,11,0,0,3,4,31,0,1
"Trappc2",24,71,0,9,0,4,6,16,35,18
"Ofd1",222,266,271,209,619,106,405,194,93,339
"Tceanc",24,17,47,0,98,35,46,27,13,55
"Egfl6",0,0,0,0,0,0,0,0,0,0
"Gm1720",26,61,0,61,45,1,0,15,8,31
"Gm8817",0,0,0,0,0,0,0,0,15,16
"Tmsb4x",162906,195457,141178,9249,65754,272218,258307,320732,181706,323447
"Tlr7",230,180,116,0,28,164,158,448,80,257
"Msl3",180,118,167,249,269,269,178,281,241,257
"Amelx",25,0,0,0,0,0,0,50,0,0
"Hccs",76,122,64,43,32,83,26,57,17,238
"4933400A11Rik",0,1,0,0,0,0,0,0,0,0
"G530011O06Rik",0,0,0,0,0,0,0,0,0,0
"Asmt",0,0,0,0,0,0,0,0,0,0
"Gm20854",0,0,0,0,0,0,0,0,0,0
"Gm20736",0,0,0,0,0,0,0,0,0,0
"Zfy1",0,0,0,0,0,0,0,0,0,0
"Kdm5d",0,0,0,0,0,0,0,0,0,0
"Usp9y",0,0,0,0,0,0,0,0,0,0
"Uty",0,0,0,0,0,0,0,0,0,0
"Gm21708",0,0,0,0,0,0,0,0,0,0
"Rbmy",0,0,0,0,0,0,0,0,0,0
"Gm21677",0,0,0,0,0,0,0,0,0,0
"Gm20816",0,0,0,0,0,0,0,0,0,0
"Gm20867",0,0,0,0,0,0,0,0,0,0
"Gm20823",0,0,0,0,0,0,0,0,0,0
"Gm20738",0,0,0,0,0,0,0,0,0,0
"1700020D14Rik",0,0,0,0,0,0,0,0,0,0
"Gm29089",0,0,0,0,0,0,0,0,0,0
"Uba1y",0,0,0,0,0,0,0,0,0,0
"Eif2s3y",0,0,0,0,0,0,0,0,0,0
"Tspy-ps",0,0,0,0,0,0,0,0,0,0
"Ddx3y",0,6,0,0,0,0,0,0,0,0
"Zfy2",0,0,0,0,0,0,0,0,0,0
"Gm6026",0,0,0,0,0,0,0,0,0,0
"Gm16501",0,0,0,0,0,0,0,0,0,0
"Sry",0,0,0,0,0,0,0,0,0,0
"Gm21704",0,0,0,0,0,0,0,0,0,0
"Gm10352",0,0,0,0,0,0,0,0,0,0
"Gm21693",0,0,0,0,0,0,0,0,0,0
"Gm4064",0,0,0,0,0,0,0,0,0,0
"Gm10256",0,0,0,0,0,0,0,0,0,0
"Gm3376",0,0,0,0,0,0,0,0,0,0
"Gm20826",0,0,0,0,0,0,0,0,0,0
"Gm20815",0,0,0,0,0,0,0,0,0,0
"Gm20822",0,0,0,0,0,0,0,0,0,0
"Gm20877",0,0,0,0,0,0,0,0,0,0
"Rbm31y",0,0,0,0,0,0,0,0,0,0
"Gm21379",0,0,0,0,0,0,0,0,0,0
"Gm20831",0,0,0,0,0,0,0,0,0,0
"Ssty1",0,0,0,0,0,0,0,0,0,0
"Gm20747",0,0,0,0,0,0,0,0,0,0
"Gm20865",0,0,0,0,0,0,0,0,0,0
"Ssty2",0,0,0,0,0,0,0,0,0,0
"Gm20917",0,0,0,0,0,0,0,0,0,0
"Gm20809",0,0,0,0,0,0,0,0,0,0
"Gm20858",0,0,0,0,0,0,0,0,0,0
"Gm20857",0,0,0,0,0,0,0,0,0,0
"Gm20871",0,0,0,0,0,0,0,0,0,0
"Gm20852",0,0,0,0,0,0,0,0,0,0
"Sly",0,0,0,0,0,0,0,0,0,0
"Gm21943",0,0,0,0,0,0,0,0,0,0
"Gm20806",0,0,0,0,0,0,0,0,0,0
"Erdr1",142,395,989,697,139,557,506,939,469,796
"Ust",103,3,91,0,0,177,32,99,0,213
"Clvs2",0,0,0,0,0,0,0,0,0,0
"Armc2",29,0,0,0,0,1,0,0,0,0
"Gm20757",0,0,0,0,0,0,0,0,0,0
"Vta1",125,256,140,55,187,210,310,226,142,195
"Utrn",1371,1617,710,1518,1784,997,1264,614,540,880
"Ahi1",145,298,342,296,213,221,176,89,14,96
"Txlnb",49,24,36,21,0,0,35,0,0,0
"Lama2",0,0,0,0,0,0,0,0,0,0
"Rnf146",231,219,188,73,167,365,468,372,259,460
"Nkain2",0,0,0,0,0,0,22,0,0,0
"Ptprk",4,16,94,55,15,24,0,106,0,21
"Hs3st5",0,0,0,0,0,0,0,0,0,0
"Rev3l",95,378,108,391,291,92,127,240,168,75
"Wasf1",0,0,0,0,18,0,7,0,0,2
"Frk",0,0,0,0,0,0,4,0,0,0
"Grik2",0,0,0,0,0,0,0,0,0,0
"Prep",151,192,263,19,62,260,343,393,186,316
"Nus1",360,556,331,132,311,278,367,525,288,472
"Pkib",306,223,443,201,255,786,420,763,366,646
"Ctnna3",0,0,0,0,0,0,0,0,0,0
"Col13a1",0,0,0,0,0,0,0,0,0,0
"Unc5b",8,0,0,7,0,0,0,0,32,1
"Micu1",268,68,689,409,194,377,342,609,325,506
"Lrrtm3",0,0,0,0,0,0,0,0,0,0
"Pcdh15",91,73,79,132,94,16,16,86,0,36
"Arid5b",220,446,206,269,397,167,180,158,134,345
"Slc16a9",39,113,102,133,81,79,9,0,0,21
"Txnrd1",227,361,481,196,313,324,203,504,119,353
"Gzmm",14,28,158,8,0,9,4,33,31,34
"Ap3d1",2859,2545,3603,3398,2990,2470,2885,3315,2680,3106
"Pttg1ip",225,380,805,305,192,405,514,898,571,1162
"4930483K19Rik",0,0,0,0,0,0,0,0,0,0
"Lss",115,3,226,0,36,320,200,300,170,118
"Ric8b",254,160,60,97,70,91,199,58,73,400
"Anks1b",0,0,0,0,0,0,0,0,3,0
"Ano4",0,0,0,0,0,0,0,0,0,0
"Bpifc",7,0,10,0,0,0,7,0,0,0
"Dcn",70,36,94,24,61,132,63,9,1,24
"Gm20110",0,0,0,0,0,0,0,0,0,0
"5730420D15Rik",0,0,0,0,0,0,0,0,0,18
"Mgat4c",0,0,0,0,0,0,0,0,0,0
"Acss3",0,0,0,0,0,0,0,0,0,0
"Caps2",0,0,0,0,0,0,0,0,0,0
"Tmem19",504,577,908,372,397,1359,916,1316,733,1421
"Grip1",0,0,0,0,0,0,0,0,0,0
"Ppm1h",153,271,301,103,130,513,400,249,198,259
"Fam19a2",0,0,0,0,0,0,0,0,0,0
